key,weeks,appreciation,occupancy,furnish,rent_alternative,is_empty,net_cash_flow,avg_annual_econ_cost,econ_premium,net_sale_proceeds,gross_revenue,fixed_costs,variable_costs,tax_recapture,tax_ltcg,tax_saved_pal,sale_price
6_weeks_0.05_0.75_16000.0,6,0.05,0.75,16000.0,15000.0,False,-18986.887325180214,5020.80873254857,-9979.19126745143,227193.8001484215,22174.34210526316,31686.509035706535,9474.720394736843,20943.18181818182,16935.840907992217,59377.2742992027,499520.6500429689
6_weeks_0.05_0.75_30000.0,6,0.05,0.75,30000.0,15000.0,False,-18986.887325180214,7200.80873254857,-7799.19126745143,230833.8001484215,22174.34210526316,31686.509035706535,9474.720394736843,24443.18181818182,14135.840907992217,63717.2742992027,499520.6500429689
8_weeks_0.01_0.6_8000.0,8,0.01,0.6,8000.0,20000.0,False,-22688.68008833811,18840.116990323495,-1159.883009676505,145571.1916861023,16965.78947368421,31686.509035706535,7967.960526315789,14465.803442714168,0.0,64930.16459525534,380608.04999798856
8_weeks_0.01_0.6_16000.0,8,0.01,0.6,16000.0,20000.0,False,-22688.68008833811,20028.688418894923,28.688418894922506,148051.1916861023,16965.78947368421,31686.509035706535,7967.960526315789,14465.803442714168,0.0,67410.16459525534,380608.04999798856
8_weeks_0.01_0.6_30000.0,8,0.01,0.6,30000.0,20000.0,False,-22688.68008833811,22108.688418894923,2108.6884188949225,152391.1916861023,16965.78947368421,31686.509035706535,7967.960526315789,14465.803442714168,0.0,71750.16459525534,380608.04999798856
8_weeks_0.03_0.6_8000.0,8,0.03,0.6,8000.0,20000.0,False,-22688.68008833811,13016.342638549253,-6983.657361450747,186337.612148522,16965.78947368421,31686.509035706535,7967.960526315789,18943.18181818182,6833.571334004184,64930.16459525534,436605.2222258289
8_weeks_0.03_0.6_16000.0,8,0.03,0.6,16000.0,20000.0,False,-22688.68008833811,14262.05692426354,-5737.943075736461,188417.612148522,16965.78947368421,31686.509035706535,7967.960526315789,20943.18181818182,5233.571334004184,67410.16459525534,436605.2222258289
8_weeks_0.03_0.6_30000.0,8,0.03,0.6,30000.0,20000.0,False,-22688.68008833811,16442.05692426354,-3557.9430757364607,192057.612148522,16965.78947368421,31686.509035706535,7967.960526315789,24443.18181818182,2433.571334004184,71750.16459525534,436605.2222258289
8_weeks_0.05_0.6_8000.0,8,0.05,0.6,8000.0,20000.0,False,-22688.68008833811,6329.331453413232,-13670.668546586767,233146.69044447414,16965.78947368421,31686.509035706535,7967.960526315789,18943.18181818182,18535.840907992217,64930.16459525534,499520.6500429689
8_weeks_0.05_0.6_16000.0,8,0.05,0.6,16000.0,20000.0,False,-22688.68008833811,7575.045739127519,-12424.95426087248,235226.69044447414,16965.78947368421,31686.509035706535,7967.960526315789,20943.18181818182,16935.840907992217,67410.16459525534,499520.6500429689
8_weeks_0.05_0.6_30000.0,8,0.05,0.6,30000.0,20000.0,False,-22688.68008833811,9755.045739127518,-10244.954260872482,238866.69044447414,16965.78947368421,31686.509035706535,7967.960526315789,24443.18181818182,14135.840907992217,71750.16459525534,499520.6500429689
8_weeks_0.01_0.7_8000.0,8,0.01,0.7,8000.0,20000.0,False,-20679.041930443378,17453.466661376126,-2546.5333386238744,141210.27688347077,19793.421052631576,31686.509035706535,8785.95394736842,14465.803442714168,0.0,60569.24979262378,380608.04999798856
8_weeks_0.01_0.7_16000.0,8,0.01,0.7,16000.0,20000.0,False,-20679.041930443378,18642.038089947553,-1357.961910052447,143690.27688347077,19793.421052631576,31686.509035706535,8785.95394736842,14465.803442714168,0.0,63049.24979262378,380608.04999798856
